RUNID	BATCHSETID	MPL	NUMEXECXACTS	PT	TPS
611	61	600	3274	43433396.67	27.28
611	61	700	2126.67	58634291.33	17.72
611	61	800	1028.67	70528329	8.57
611	61	900	1053	79291166.67	8.78
611	61	1000	1106.67	90030699.33	9.22
611	62	100	207.33	8562059.33	1.73
611	62	200	223	16822602.33	1.86
611	62	300	101.67	9270141.67	.85
611	62	400	400	31763998	3.33
611	62	500	2777.67	23690885.67	23.15
611	62	600	3730	38784578	31.08
611	62	700	1663.67	58678294	13.86
611	62	800	1488	70366459	12.4
611	62	900	1029.33	79305145	8.58
611	62	1000	1053.33	86574519	8.78
611	81	100	180.67	5983683.33	1.51
611	81	200	217	15067129.33	1.81
611	81	300	238.33	20245707.33	1.99
611	81	400	400	31730391.67	3.33
611	81	500	2736.67	31104409	22.81
611	81	600	3674	41515419.67	30.62
611	81	700	2806.67	58530891.33	23.39
611	81	800	1142.67	70397796	9.52
611	81	900	1017.67	78965931	8.48
611	81	1000	1116.67	93871344.67	9.31
611	101	100	230	10929471.33	1.92
611	101	200	265.33	18641995.67	2.21
611	101	300	300	26790195.33	2.5
611	101	400	381.33	29605327.67	3.18
611	101	500	2846.33	34952427.67	23.72
611	101	600	3543	46698689.33	29.53
611	101	700	1951.67	58663132.33	16.26
611	101	800	1127	70445527.67	9.39
611	101	900	1061	81995622.33	8.84
611	101	1000	1137.33	93740553.67	9.48
611	121	100	235	9868527.33	1.96
611	121	200	273.67	19886618	2.28
611	121	300	300	26748703	2.5
611	121	400	400	31806749	3.33
611	121	500	2809.33	34919589.33	23.41
611	121	600	3727.33	46805161	31.06
611	121	700	1343.33	35298804	11.19
611	121	800	1150.67	70400320.33	9.59
611	121	900	1065.67	81303656.67	8.88
611	121	1000	1140.33	93852323.67	9.5
611	141	100	225.33	9635417.33	1.88
611	141	200	264	19823570.33	2.2
611	141	300	300	26899645	2.5
611	141	400	400	31825116.33	3.33
611	141	500	2840	34854923.67	23.67
611	141	600	3086	45230782.33	25.72
611	141	700	1554.67	58542990.67	12.96
611	141	800	1024.33	70213183.33	8.54
611	141	900	1111.33	81893126.33	9.26
611	141	1000	1118	93663196.33	9.32
611	142	100	188	10576854.67	1.57
611	142	200	200	17946379.33	1.67
611	142	300	299.67	23122041.67	2.5
611	142	400	400	30921811.33	3.33
611	142	500	2372.67	27718306.33	19.77
611	142	600	3580.33	46206059.33	29.84
611	142	700	2548.33	58645554.67	21.24
611	142	800	1188.33	69665797.67	9.9
611	142	900	1084.67	81691884.33	9.04
611	142	1000	1140.33	93805478.67	9.5
611	143	100	241	10867396.33	2.01
611	143	200	278	19935053	2.32
