DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ROUND(ATP,3)	MAXMPL
db2	xt-1M-1000-120-8	1870	4184	0	8	1	0	50	49.156	1100
db2	xt-1M-1000-120-8	1870	4204	0	8	.25	0	75	49.158	1100
db2	xt-1M-1000-120-8	1870	4224	0	8	.5	0	75	50.375	1100
db2	xt-1M-1000-120-8	1870	4244	0	8	.75	0	75	50.788	1100
db2	xt-1M-1000-120-8	1870	4265	0	8	1	0	75	52.145	1100
db2	xt-1M-1000-120-8	1870	4384	0	8	.25	0	100	50.422	1100
db2	xt-1M-1000-120-8	1870	4604	0	8	.5	0	100	50.755	1100
db2	xt-1M-1000-120-8	1870	4625	0	8	.75	0	100	50.984	1100
db2	xt-1M-1000-120-8	1870	4724	0	8	1	0	100	51.416	1100
db2	xt-1M-1000-120-8	1870	4765	0	8	.25	.01	0	28339.167	1100
db2	xt-1M-1000-120-8	1870	4805	0	8	.5	.01	0	64437.395	600
db2	xt-1M-1000-120-8	1870	4824	0	8	.75	.01	0	119975.446	1100
db2	xt-1M-1000-120-8	1870	4844	0	8	1	.01	0	153575.149	1100
db2	xt-1M-1000-120-8	1870	5205	0	8	.25	.1	0	4582.291	1100
db2	xt-1M-1000-120-8	1870	5245	0	8	.5	.1	0	5088.696	1100
db2	xt-1M-1000-120-8	1870	5284	0	8	.75	.1	0	2139.223	600
db2	xt-1M-1000-120-8	1870	5304	0	8	1	.1	0	5521.801	800
db2	xt-1M-1000-120-8	1870	5606	0	8	.25	1	0	509.241	1100
db2	xt-1M-1000-120-8	1870	5608	0	8	.5	1	0	2465.153	1100
db2	xt-1M-1000-120-8	1870	5626	0	8	.75	1	0	4797.832	700
db2	xt-1M-1000-120-8	1870	5628	0	8	1	1	0	35.429	1100
mysql	pk-xt-1M-1000-120-1	1290	7207	1	1	.25	0	25	28005.611	1100
mysql	pk-xt-1M-1000-120-1	1290	7246	1	1	.5	0	25	10577.517	800
mysql	pk-xt-1M-1000-120-1	1290	7286	1	1	.75	0	25	15218.704	700
mysql	pk-xt-1M-1000-120-1	1290	7306	1	1	1	0	25	68197.719	800
mysql	pk-xt-1M-1000-120-1	1290	7327	1	1	.25	0	50	24118.707	1100
